,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
0,175965,000509.XSHE,2021-12-31,2022-01-18,2021-12-31,-0.0053,-26807036.68,-14065368.44,3626452.47,-3.9437,-18.7276,-0.3873,-0.5571,15.5244,104.7746,0.642,-0.5571,0.7696,14.3531,0.9877,-600.7543,154.8916,,81.7965,-48.0718,,488.1877,,488.1877,,-93.5221,,-112.4836,,-174.6713,
1,175966,002107.XSHE,2021-12-31,2022-01-21,2021-12-31,0.28,157328113.26,194450861.66,,20.0713,19.3264,12.7468,17.1133,77.4707,79.3724,20.4404,17.1133,44.7464,5.4363,-0.0877,102.3664,,96.2887,115.2961,21.2289,102.9151,-6.3024,,-6.3024,,-13.4389,,-13.4183,,-8.6585,
2,175967,300803.XSHE,2021-12-31,2022-01-25,2021-12-31,0.44,160273178.0,163443929.0,15629801.0,14.665999999999999,13.3406,9.5607,18.8967,88.1068,82.471,20.4138,18.8967,53.7603,7.1838,-2.65,86.1706,8.2403,90.9626,122.434,40.0086,228.2428,34.6265,,34.6265,,105.596,,97.5064,,97.5064,
3,175968,600272.XSHG,2021-12-31,2022-01-28,2021-12-31,0.09,4304296.82,-3855088.7,1369088.45,4.1298,0.8185,1.555,2.445,26.42,100.5755,3.84,2.445,12.4252,12.8858,0.8323,-15.6535,5.5592,19.8198,113.2328,3.9883,,-12.0752,,-12.0752,,9.5471,,26.8992,,58.8115,
4,175969,300708.XSHE,2021-12-31,2022-01-29,2021-12-31,0.34,41356911.09,160455623.42,-969516.14,14.649000000000001,3.4213,6.2535,8.8133,16.8854,92.0139,9.5323,8.8133,0.5177,1.8333,1.2026,84.3109,-0.5094,23.3554,115.2732,23.1634,290.048,42.8332,,42.8332,,1148.3179,,728.4341,,728.4341,
5,175970,002188.XSHE,2021-12-31,2022-01-29,2021-12-31,0.511,6174429.65,37634752.37,-3712.47,,,84.9645,54.1163,34.3389,86.2621,51.4154,54.1163,0.2341,18.0403,0.7958,23.708000000000002,-0.0023,4.1324,104.9739,24.8642,180.9895,62.7825,,62.7825,,763.4228,,232.9831,,234.2045,
6,175971,300390.XSHE,2021-12-31,2022-02-08,2021-12-31,1.59,860070322.78,1448767956.05,3584726.67,40.8702,38.5981,28.6067,36.8218,51.098,57.3585,43.2543,36.8218,1.1346,4.2151,1.111,98.5166,0.2438,94.4409,87.7662,5.3121,12.4576,158.72799999999998,,158.72799999999998,,347.98699999999997,,330.6152,,218.4353,
7,175972,000798.XSHE,2021-12-31,2022-02-10,2021-12-31,-0.2688,-82172298.9,-157024401.66,-15795181.65,-15.202,-14.5492,-8.2557,-19.2194,-13.232999999999999,133.9592,-17.7695,-19.2194,2.653,13.8773,3.5288,,,,104.6385,19.2611,,3.8412,,3.8412,,48.979,,43.3762,,44.2345,
8,175973,002984.XSHE,2021-12-31,2022-02-15,2021-12-31,1.16,683626951.72,719236245.32,-30039168.66,12.3541,11.2106,8.3098,14.5513,23.3332,86.1078,14.068,14.5513,2.8284,2.5772,1.6512,92.7601,-3.8742,90.7439,97.9474,16.0609,115.6113,10.0287,,10.0287,,-30.5491,,-23.17,,-23.17,
9,175974,000670.XSHE,2021-12-31,2022-02-15,2021-12-31,0.004,2713167.14,86835522.25,-3171517.06,13.3489,11.1862,3.7435,1.9318,7.3629999999999995,96.9953,2.9365,1.9318,1.4248,1.3905,0.7838,102.5565,-3.7457,83.7982,77.9327,-4.6572,-155.0003,312.8811,,312.8811,,167.2945,,124.5599,,-68.0044,
