date,open,close,high,low,volume,money
2023-01-03,13.2,13.77,13.85,13.05,219412794.0,2971546989.0
2023-01-04,13.71,14.32,14.42,13.63,218968253.0,3110729449.0
2023-01-05,14.4,14.48,14.74,14.37,166542518.0,2417272356.0
2023-01-06,14.5,14.62,14.72,14.48,119574471.0,1747915169.0
2023-01-09,14.75,14.8,14.88,14.52,105765911.0,1561368487.0
2023-01-10,14.76,14.44,14.89,14.39,126942339.0,1851093717.0
2023-01-11,14.45,14.67,14.78,14.39,83056612.0,1217450812.0
2023-01-12,14.77,14.67,14.77,14.53,62569484.0,914367700.0
2023-01-13,14.67,14.95,14.95,14.55,94908583.0,1407181074.0
2023-01-16,14.95,15.08,15.28,14.85,156003989.0,2356399993.0
2023-01-17,15.13,14.97,15.18,14.77,93583454.0,1396151515.0
2023-01-18,14.95,15.11,15.18,14.91,71843403.0,1083362998.0
2023-01-19,15.13,15.09,15.25,14.87,64187520.0,963744633.0
2023-01-20,15.16,15.13,15.24,15.0,60859008.0,920144806.0
2023-01-30,15.6,15.15,15.74,14.89,137431750.0,2096867649.0
2023-01-31,15.24,14.99,15.51,14.96,103049784.0,1568639326.0
