,open,close,high,low,volume,money
2023-01-03,3087.51,3116.51,3119.86,3073.05,28137036200.0,331392138900.0
2023-01-04,3117.57,3123.52,3129.09,3109.45,27331362600.0,316391228700.0
2023-01-05,3132.76,3155.22,3159.43,3130.23,25700301800.0,335635934500.0
2023-01-06,3155.07,3157.64,3170.74,3151.84,25738025500.0,338539843700.0
2023-01-09,3169.37,3176.08,3183.58,3165.43,25811521800.0,342693771000.0
2023-01-10,3178.02,3169.51,3178.16,3165.14,23298417500.0,310357698600.0
2023-01-11,3172.38,3161.84,3184.76,3160.89,23774286900.0,309248892900.0
2023-01-12,3167.27,3163.45,3171.59,3153.4,21667130500.0,275371843300.0
2023-01-13,3170.35,3195.31,3195.31,3167.51,22022689700.0,288062499100.0
2023-01-16,3198.52,3227.59,3251.37,3197.32,30674954900.0,413219641000.0
2023-01-17,3229.44,3224.24,3231.26,3211.76,22659223000.0,302611778500.0
2023-01-18,3227.59,3224.41,3234.82,3220.37,21210973000.0,266068176700.0
2023-01-19,3221.52,3240.28,3240.28,3210.38,22646503000.0,296815557300.0
2023-01-20,3247.2,3264.81,3267.06,3247.2,27321918200.0,329028168400.0
2023-01-30,3308.87,3269.32,3310.49,3266.76,35332582900.0,453177014100.0
2023-01-31,3266.14,3255.67,3277.25,3252.01,30016295700.0,375260749600.0
